text,label
"A Rock arra hivatott, hogy a XXI. század új Conanja legyen, és hogy még nagyobbat csobbanjon, mint Arnold Schwarzenegger, Jean-Claud Van Damme vagy Steven Segal.",positive
"A ""Gyűrűk Ura"" trilógia pompásan kidolgozott folytatása olyan fergeteges, hogy egy tucatnyi szó sem tudja megfelelően leírni Peter Jackson társszerző-rendezőnek a J.R.R. Tolkien: Középföld c. művéről készített bővebb vízióját.",positive
"Hatásokkal teli, de túl langyos filmbiográfia.",negative
"Ha szeretsz időnként moziba menni, érdemes a Wasabi-val kezdeni.",positive
"Ritkaságszámba megy, egy problémafelvető film, amely annyira őszinte és pontos megfigyeléseket tartalmaz, hogy már-már nem is tűnik annak.",positive
"A film nagyszerű betekintést nyújt abba, hogy milyen neurotikus az összes humorista gondolkodásmódja -- még azoké is, akik elérték a játék abszolút csúcsát.",positive
A szórakoztatás és az oktatás ritka kombinációját kínálja.,positive
"Talán még soha egyetlen kép sem mutatta meg ennél pontosabban, hogy a pokolba vezető út jó szándékkal van kikövezve.",positive
"A Vigyázz a macskámra című film az ázsiai filmművészet egy frissítő, új oldalát mutatja meg.",positive
"Ez egy olyan film, amit érdemes megnézni, beszélni róla és énekelni a benne szereplő dalokat.",positive
"Ami igazán meglepő a Wisegirlsben, hogy milyen színvonalas és érzékeny.",neutral
"A Wendigo testesíti meg mindazt, amiért szeretünk moziba járni: hogy a szemünkön, a szívünkön, az elménken át táplálkozzunk.",positive
Minden idők egyik legnagyszerűbb családi fantasy-kalandfilmje.,positive
"Azon töpreng, hogy miért van szükségünk annyira a történetekre.",neutral
"Egy teljesen szükségszerű kérdés, hogy ""ki írta"", amely által a valaha élt leghíresebb szerző reputációja is megkérdőjelezhetővé válik.",neutral
"Informatív, ha sok beszédes részt tartalmaz egy dokumentumfilm.",neutral
"Egy remekmű, amely négy évig készült.",positive
"A film érett, lenyűgöző szépsége el fogja csábítani azokat, akik hajlandóak felderíteni rejtélyes titkait.",positive
A valódi kifinomultság friss fuvallatát kínálja.,positive
"Egy gondolatokban gazdag, provokatív és emberséges film.",positive
"A Szép & fantasztikus című film - melynek stábjában a független filmipar legnagyobb nevű színészei szerepelnek - teljesen beszippant minket, mert annyira lényegretörően és viccesen mutatja be, hogyan próbáljuk meg kézbe venni az életünket.",positive
"Felkavaró és ijesztő, megindító képek együttese, és Philip Glass által komponált hipnotikus zene.",neutral
"Nem mindenkinek, de azoknak, akiket érinteni fog, egy kellemes változás lesz a szokásos moziárakhoz képest.",neutral
Elhivatottsággal és jószívű profizmussal teszi a dolgát.,positive
"Alkalmanként melodramatikus, de rendkívül hatásos.",neutral
"Egy idealista szerelmi történet, ami mindenkiből előhozza a 15 éves romantikus énjét.",neutral
"A Kincses bolygó lendületes tempóban, körülbelül 95 percben veszi végig az ismerős történetet.",neutral
"Azonban hiányzik belőle az a nagyság és hősiesség, ami Stevensont és a korábbi Disney-meséket jellemzi.",negative
"Segít, hogy Lil Bow Wow… visszavesz a gengszter viselkedéséből, annak érdekében, hogy olyasvalakit játsszon, aki hasonlít egy igazi gyerekre.",neutral
"Garantáltan megmozgat bárkit, aki valaha shake-rattle-and-roll-ozott.",positive
"Egy mesteri film egy mesteri filmkészítőtől, egyedülálló megtévesztő zordságában, lenyűgöző fatalista világnézetében.",positive
"Könnyű, aranyos és felejthető.",neutral
"Ha lehetséges a drogok kártékony hatásait hatékonyan bemutatni a gyerekeknek, akkor, szerintem a Paid/Fizetve egy ilyen projekt, amely sajnos csak 17 éves kortól ajánlott.",positive
"Bár könnyű lenne lehúzni a Két esküvő, egy temetés című filmet, ez egy sokkal elgondolkodtatóbb alkotás, mint bármely más Hugh Grand film.",neutral
"Bár lehet, hogy minden részletében szöveghű és átgondolt, mégsem indult be a történet, hanem mindvégig statikusnak tűnt.",neutral
"Cantet tökéletesen ragadja meg a Vincent napjait átható hotel előcsarnokát, a kétsávos autópályákat és az országúti kávézókat.",positive
"Ms. Fulford-Wierzbicki már-már kísérteties a duzzogó, számító Lolita-jelenetében.",neutral
"Bár nem a legjobb műve, a Hagyjátok! a mester egy kíváló és különleges alkotása. Lenyűgöző film, mely megjutalmazza azokat, akik időt és energiát szánnak rá.",positive
"Az elmúlt évek legtöbb Bond-filmjéhez hasonlóan az akciójelenetek néha annyira életszerűtlenek, mintha egy rajzfilmből lennének kivágva.",negative
A sorozat egyre jobban támaszkodik a CGI technológiára.,neutral
"Newton mágnesként vonzza a figyelmünket, és felülmúlja ismertebb sztártársát, Mark Wahlberget is.",positive
"A történet az utolsó pillanatban elveszíti élét a happy end által, amely még a film többi részénél is kevésbé tűnik hihetőnek.",negative
"Bár ez egy üdítően újszerű utazás, hosszú az út.",neutral
Fuller biztosan nagyszerű mesének nevezte volna ezt a merész és időnként üdítő filmet.,positive
A film nagy hangsúlyt fektet a zenészek fontosságára a Motown hangzás megteremtésében.,neutral
"Karmen ritmusra mozog, ütemesen énekel, homlokán az ékkőként ragyogó izzadságcseppeket hosszú, fonott haja nem törli le.",neutral
"Gosling csodálatos teljesítményt nyújt, amely mindenki mást eltörpít hozzá képest a filmben.",positive
"Egy igazi film, igazi emberekről; ritka bepillantást enged egy olyan kultúrába, amit a legtöbben nem ismerünk.",positive
"Gyengéd, mégis megrázó, sötét humorú mese.",neutral
"Lehet, hogy könnyű célpontot parodizál - az 50-es évek óriási teremtményei személyében - de… elismeri és ünnepli ízléstelenségüket, amiért az emberek ma is élvezettel nézik őket.",neutral
Lebilincselő összefoglalása Johnson excentrikus karrierjének.,positive
"A maga rongyos, olcsó és igénytelen módján a film működik.",neutral
"Néhány színész annyira karizmatikus, hogy még azt is örömmel meghallgatnád tőlük, ahogy felolvassák a telefonkönyvet.",positive
Hugh Grant és Sandra Bullock szerethető színészek.,positive
"Sandra Nettelbeck gyönyörűen alakítja a hűvös, neurotikus és egocentrikus Martha átalakulását, ahogyan a szíve elkezd kinyílni.",positive
A havas játékok és imádnivaló szibériai huskyk - valamint egy juhászkutya - mellett a film otthont ad egy parkába csomagolt érző lénynek is.,positive
